,reference,translation
8372,I turned my back and tell Truelove... ...you fucking ran away or something...,I'll turn around and I'll tell Truelove that you broke up with me or something.
8373,"Oh, for sake!","oh, shit!"
8374,But I think that one man should be you.,but I think you should be sacrificed.
8375,"When he was sheathed inside of me, he stared down at me.","when he was inside my vagina, he looked down at me."
8376,He's a tasmanian devil!,it's the Devil's Devil.
8377,Get the fuck off me!,leave me alone!
8378,I think our friend should start thinking about who he wants to fuck with.”,"I think our friend should begin to think about who he's talking to. """
8379,"Murder, rape, drug-trafficking. they're bulletproof.","murder, rape, drug trafficking, they're bulletproof."
8380,"We're gonna drown because of you, Risa.","we're going to sink because of you, Risa."
8381,"Don't be a fool, boy.","don't be naive, boy."
8382,I'm going to pass a massive electrical charge through the Star Whale's brain.,I'll send a large electrical charge to the brain.
8383,"I forgot that unless you're super drunk, that thing kills your back.","I forgot if I got drunk properly, it would ruin my back."
8384,Captain Lost.,captain Loser.
8385,"After Miss Kohut ""s interpretation... I feel doubly like an amateur.","after Professor Kohuta's performance, I feel like a loser."
8386,So we've got to fucking find out if he is dead.,we have to find out if he's really dead.
8387,"In Munich, a Herr Hitler is preparing a putsch with thousands of starving soldiers and madmen in uniform.","in Munich, a Mr. Hitler prepares a coup, along with thousands of hungry soldiers, and a madman in uniform."
8388,"""Do you want him to have died for nothing?","""do you want his death to be useless?"
8389,"I got an itchy trigger finger here, and I'm ready to blow some shit up.",I have a finger on the trigger. I'm ready to break something up!
8390,Guts and insanity.,courage and folly.
8391,He told me something new that he did to the drug dealer Before he killed him.,he told me he had something new to do with the dealer before killing him.
8392,"Sir, what I'm going to do is insert the straw in the hole... ...and it will allow the oxygen to get to your brain.","Sir, now I'm going to put a straw in the aperture that will provide the oxygen flow to your brain."
8393,"Hail, random creepy knife guy.","be greeted, random creepy guy."
8394,"Do we have a gun in the car? Oh, shit!",do we have a gun in the car?
8395,You look like you've seen some crap.,you look like you've been through a lot.
8396,Write any damn thing I pleased without The New York Times Book Review looking over my shoulder the whole time I wrote it.,to write any contin by its own flavor without being The New York Times tiook Review the whole time looking over my shoulder.
8397,They killed him exactly like that.,they killed him just as they say.
8398,"Fort Hamilton, class of '92 and a funny prick.","Fort Hamilton, class of 1992, and a funny dick."
8399,"Irina, and whatever girls of questionable status out of there, and pretty damn quick.","Irina and all the girls of dubious background gone, and damned fast."
8400,"Bloody hell, you know what she's like.","hell, you know what he's like."
8401,"If we go in every night, they'll know we're coming.","if we go every night, they'll be waiting for us and they'll kill us."
8402,"If you're even a minute late, your son dies.","if you come a minute later, your son dies."
8403,All this death is just a game to you.,all this killing is just a game for you.
8404,"For Christ's sake, it's not there?","shit, he's not there?"
8405,All because Xerxes had foolishly opened the door for them.,all because this fool Xerxes opened the door for them.
8406,"She put the evil eye on me, that Witch.","she made an eye-catching look at me, the witch."
8407,You need a cast-iron stomach.,you need an articulated stomach for that.
8408,"Remembers that: once you are in hell, only the devil can help you.","remember: When you're in hell, only the devil can help you."
8409,I want to see his face... when I tell him the midget who acted inside of R2-D2 died.,I want to see what he's gonna look like when I tell him that the one who played in R2-D2 died.
8410,"What about nikki sherman's recant of her rape statement, Where she admitted she wanted to have sex with my client.","what about the denial of Nikki Sherman's story about her rape, where she admitted that my client wanted sex with my client?"
8411,"And if I hadn't gotten away, they would have killed me.","and if I didn't run, they'd kill me."
8412,I thought it was just roaches and vampires.,I thought we just had to avoid cockroaches and vampires.
8413,"If you're a pegger, be honest about that.","if you're a pegger, you have to admit it."
8414,"All at once he became conscious of a smart blow upon his buttocks, followed by a loud clack, which announced to his surprised senses that the clacker had been the instrument of offence used.","suddenly Judu hit something hard over his butt, and then there was a loud thud, and a startled Jude realized that the cutter had become an instrument of attack."
8415,"Santos and DeMille, they killed those deputies.",the cops killed Santos and DeMille.
8416,not luggage thieves and not punks.,not luggage thieves or losers.
8417,Next hits him on the head.,he'll be in his head next.
8418,"No, listen to me, goddamn it.","no, listen to me!"
8419,That is a fucking horrible jumper.,that's a really ugly sweater.
8420,"Shit, oh goodness!","oh, my God."
8421,He was a cripple in this environment.,there was a cripple in this environment.
8422,I have only planned and organized the killing of Thebans by others.,"so far, I have only planned to kill the Thebans, and he has organised others to carry them out."
8423,"Your planet is full of bottles of meths, howling harmonicas and grimy doss houses.","your planet is full of Ironu, a lavish harmonic and dirty furnaces."
8424,"I looked at people who were in love... ...and I thought the way that they were behaving... ...and the things that they were doing and saying... ...they appeared pathetic, honestly.","when I saw in love, I thought it was how they behaved and what they were doing and say it... they made me uncomfortable, really."
8425,My daughter broke his brain.,my daughter fried his brain.
8426,"Well, I'm sure we can bring him back into the fucking fold.","well, I'm sure he can come back for us."
8427,You guys go. I'll deal with this prick.,"go, I'll deal with him."
8428,What on earth are you doing down here?,what the hell are you doing down here?
8429,"because it was old and rusty.""",because he was old and rusty.
8430,Go put on one of your funny hats and let's go.,go get one of those ridiculous hats and go.
8431,We're in a damn war.,we're at war with them.
8432,"It may be a bit rundown, but there's no need to be racist.","it may be a little fucked up, but you don't have to be racist."
8433,Come on. I know I was a bit of a jerk back in the day but I've grown up a lot since then.,"I know I was quite a bastard then, but I've grown up."
8434,"Get out of Paris or you're that dead man you just mentioned.""","get out of Paris, or you will be a corpse you've mentioned before. """
8435,Get off! Stay away from me!,don't come near me!
8436,Because I will selfie bomb you every 5 minutes.,I'll be sending you some selfies every five minutes.
8437,People used to write poems about talking to death.,people used to write poems about shit to death.
8438,Black must've realized they can use Clay to their advantage.,black people must have realized they could use Clay in their favor.
8439,I like to be left me for the tea.,"I like to stay for tea, bitch."
8440,What the...?,what the hell?
8441,"She's not the mom, but she's not slutty.","it's not Mother, not even a run."
8442,"I admit, Molly, that I was into Asian porn for a little while.","I confess, Molly, I've spent one time looking at Asian porn films."
8443,"Look, son, you're talking about a bunch of rich white folks, slave-holders.","listen, you're talking about white rich people."
8444,"Ah, this fuckin'... take the wheel a second, would you?",will you take the wheel for a minute?
8445,He's a right poof.,he's a faggot.
8446,"Sydney, cut the blue wire, and then run.","Sydney, cut the blue wire and run like hell."
8447,"Girl, you must be mortified.",a girl who must be humiliated.
8448,Hell of a shot.,damn good shot.
8449,"Now, if you'll excuse me, I'm gonna go sleep with other girls.","if you'll excuse me, I'm going to have sex with other girls."
8450,"But values, except for numbers, go into the shitter.","but the value, apart from the cifer, goes to shit."
8451,"These are my best fucking friends, ..and they never let me down.","they're my best friends, and they'll never let me down."
8452,Why is your life so fucking simple ?,why is your life so damn easy?
8453,He was like a skeleton.,he was just a bone and a skin.
8454,"You're making me fat, lady.","Madam, you'll get fat."
8455,"To be honest, I don't really give a fuck because you lied to me.","honestly, I don't care because you lied to me."
8456,"His clothes were filthy and mud-spattered, his blond hair greasy and lank as he moved through the darkness towards the domed city.","as he headed the night towards the city with his crossbow, his clothes were dirty and muddy, blond hair greasy and matured."
8457,Why the hell not?,why shouldn't he come?
8458,Get off of me.,Di take me.
8459,What a downer.,what a jerk.
8460,"Yes. It's just, to die from something as petty as slipping on tea...",it's silly to die for something like a slip on tea
8461,"The man from the moon, but you've killed him already.","man of the moon, but I think you just killed him."
8462,"Marriage is not about, uh, animal lusting and-and kinky sex games.",the marriage isn't about animal instincts and pushy sex games.
8463,"Any last words, chump?",any last words?
8464,"First the man, then on to the town house, where he continued the family.",the first man and he went to their house to kill the whole family.
8465,"If he does something strange, just tie him to the bed. D...don't be rude!","if he does anything stupid, just tie him to the bed."
8466,Saw off her hands.,"no, cut off her hands."
8467,What the hell was that machine?,what kind of machine was that?
8468,I don't give a shit.,I don't care.
8469,Sit! Right there!,shut up and sit down!
8470,All you were gonna do is break her ribs.,you could have broken her ribs.
8471,"Good night, whippy.","good night, asshole."
8472,"""You damn well better show up tomorrow night, or I'm going to call your bluff.""","""you better show up here tomorrow night, or I'll take your word for it."""
8473,Spread your buttocks.,spread your halves.
8474,Inject him with cortisol.,give him a shot from cortisone.
8475,Wh-? What is wrong with you people?!,what the hell is your problem?!
8476,"Surprise, nigger.","surprise, blud."
8477,Your wives might be fooling around with the neighbor right now.,now your women can fool around with your neighbour.
8478,"He can't really enjoy a simple game, for God's sake.","he can't even take a fucking game, for God's sake."
8479,Tell him any damn thing you like.,tell him what you want!
8480,"Yeah, just embarrass the shit out of myself, and then once I think it can't get any worse...","yeah, I'm just gonna embarrass myself, and just one thing is, I can't make it worse..."
8481,I'm gonna do your bitch-ass like my nigga did your partner!,I'll take you down as your partner's buddy.
8482,What are you talking about?,what the fuck do you mean?
8483,Touche!,hit it!
8484,Then simply permit yourself to perish prior to reaching a destination.,then just choose to die before you reach your destination.
8485,"Same way I want you, only dead.","same as me, only dead."
8486,"It took his leg, now his life.",first they mutilated his leg. Now he's killed him.
8487,"For the unusable ..."" he trailed off, staring at his boots.","for those who are useless... ""he paused, looking at his shoes."
8488,"Very well, we will commence the shooting of hostages in three hours from now . . . no, I will start the countdown on the hour.","all right, let's start killing hostages from now on in three hours... no, I'll start counting all the way through the rest."
8489,Toodles Jackass,he's an idiot.
8490,They keep coming even though we're shooting like crazy!,"we shoot like crazy, but there's more and more of them."
8491,Get the hell out of here!,get out of here!
8492,"White, tell us what's bothering you.","what worries you, white?"
8493,"It's in your back, I'll get it.","in my back, I'll get it."
8494,"You know, I'm not sure why, but I'm just itching to kick the hell out of you.","you know, I don't know why, but I feel like beating them out of you."
8495,"Now tell me fat man, and make it quick... what was I going to ask you?","now, you tell me, and do it quickly. What was I supposed to ask you?"
8496,"Papa then began to pound the Catholic prayers into my head so that I would pretend to be a Catholic, assuring me that God would understand.",he started beating me up in the head of a Catholic motorist so I could pretend I was a Catholic.
8497,You find her... ...and you destroy her.,find her and destroy her.
8498,"What the fuck did I do to you, man?",what have I done to you?
8499,"Come on, are you a man or an amoeba ?","Mr. Anderson, are you a man or an ex-wife?"
8500,"Okay, look, crazy or not, You still made some pretty serious threats against sid, And hours later he ended up dead.","well, whether you were crazy or not, you threatened Sid and found him dead an hour later."
8501,"Look, Debbie, you are high off your ass if you think you're coming into that room.",you're completely out of your mind if you think you're going to walk into that room.
8502,"Ah, shit. I know you're not gonna forget lunch with me, but I thought I'd call just to make sure.","I know you haven't forgotten about our lunch, but I'm calling for you."
8503,She'll probably break up with my ass now.,he'll probably break up with me.
8504,We're even more screwed than we thought.,we're in a bigger mess than we thought.
8505,She's like a big puppet.,he's rather than a big puppet.
8506,blackmail you.,she had to blackmail.
8507,"Why, out of all the godforsaken shitholes in Mexico, do we have to meet here?","why are we, for all those godforsaken holes in Mexico... they had to meet in this one?"
8508,"She likes being the succesul sister with a husband and kids while I'm the single, pathetic one whhas to send herselflowers on valentine's day.","she likes to play the successful sister who has a husband and children, while I'm the lonely and poor, who have to send flowers to themselves on Valentine's Day."
8509,How in the fuck did that happen?,how the hell did that happen?
8510,Somebody with a grudge against you hires a tough guy to rattle you... ...scare you to death.,someone biased against you hired a tough guy to scare the shit out of you...... scared to death.
8511,This would be a problem if the experiment involved killing them.,it was then a problem when the test involved their killing.
8512,Only Polish women have that fire in their eyes.,because only Poles have such a fire in their eyes.
8513,"For me, she is ill.","according to me, she's sick."
8514,"Man, you've been eating some weird shit.",you eat all kinds of weird things.
8515,Me? Don't be silly.,don't be crazy.
8516,"Hey, man, you want a smoke?",hey... you want a dick?
8517,It's just the ravings of a demented space tramp.,it's just the bullshit of a space freak.
8518,"No shit, that's my third biggest fear.",no way. That's my third biggest fear.
8519,Bitches have access to Medicare and now low income housing loans.,whores have access to medical care and now even for low housing loans.
8520,Evil wind that blows That which forms below No longer may you dwell Death takes you with this spell,you don't have the power to stay here with your evil death from a spell.
8521,"The swelling appears to have gone down in her brain, so I'm killing the meds that induce the coma.","the swelling on her brain seems to have diminished, so we shed the medications that cause coma."
8522,What you think aboutthat kid being killed by the pigs last week?,what do you think of the kid who was killed by pigs last week?
8523,You could stick up for me just once!,"for once, you could fuck me up!"
8524,"I'm not gonna ask you again. But if you don't tell me what I need to know, - you're gonna die!",I'll ask you one more time and if you don't answer me...
8525,"This guy is coming to tour here, he must be an imposter.",the guy who comes in on tour must be a crook.
8526,"What do you do when you take a chick out, you go on a bus?",what do you do if you want to go out with some pussy?
8527,"I'm not gonna shed any tears over it, but I am concerned about one thing... this could get a little bit messy.","we're not going to mourn it, but one thing bothers me..... .This could be a little fucked up."
8528,"And all this stuff in this... This little-bitty space, man, it just looks so much bigger now.",and with all the shit... this tiny room looks a lot bigger.
8529,"Fellow classmates, break their legs","my classmates, break their legs!"
8530,The Pig: We got the wrong box.,we took the wrong box.
8531,Get the fuck out off here!,get everyone out of here!
8532,It looked like a crude lowercase t.,he looked like a rude little t.
8533,There will be no goddamn consulting.,he won't be consulted.
8534,"""She gives me a bath, a rubdown, ""and makes passionate love to me.","""buying me, crushing me..."" And he loves me passionately. """
8535,"Oh, god.",holy crap.
8536,"You can still fart, can't you??","you can still fart, right?"
8537,Do you think I like being part of this fucked up family?.,do you think I like being a member of this family?
8538,"Drop your gun, pig!","drop the gun, cop!"
8539,Seriously. Who would fuck a pirate?!,who would have dealt with a pirate?
8540,What would happen if I mixed up this pile of crap with this shoes?,what would happen if I combined this heap of scrap metal?
8541,"""Over the edge."" Ah, it'sdriving me over the blooming edge.","""over the edge."" Always taking it to the damn edge."
8542,And he's fuckin' laughing so hard.,and he's really laughing.
8543,These were stray dogs. They would have been killed anyway.,these dogs are prowl. They would have killed them.
8544,Jaime Lannister son of the mighty Tyw! in... forced to mind the door while your king eats and drinks and shits and fucks.,"Jaime Lannister, son of mighty Tywin... forced to watch out on the door while your king eats and eats and crosses."
8545,Let's have a funeral.,we'il give her a funeral.
8546,He was a loser.,he was just a dude.
8547,"You think this damned gaudy halo means anything to me when I know - yes, you´ve convinced me! - that my beloved is burning in the Pit?","you think that this sacramentarian ornate halo means something to me when I know-yes, you've convinced them! - that my loved ones are fried in Hell?"
8548,I've been trying to get down for a bloody long time... and every time we're about to go all the way... you up and run out on me.,"I've wanted to sleep with you for a long time, but you'll always get away from me."
8549,"And, secondly, these knob heads, why waste my hard-earned monies on them, when instead we could spend it on this?","and secondly, these assholes, why waste my hard-earned money on them if we can spend this on this?"
8550,He was killed instantly.,he killed himself instantly.
8551,Where the heck-,where the hell...
8552,"Listen, you're an expert at making a fool of yourself.","listen, you're an expert on this."
8553,"Yeah, he's, uh, kind of a joke.","yeah, it's, uh, kind of ridiculous."
8554,You're an exterminator.,you're a liquidator.
8555,Why don't you take that phony broad back to the mortuary?,why don't you go back to the morgue?
8556,He's probably out getting a cake shaped like a cancerous white blood cell.,"as I know him, he's probably out there, dropping her pie in the shape of a cancer-like white blood cell."
8557,Let's get the fuck out of here.,we better get out of here.
8558,"There were many, of course, with less brains and no more imagination than beasts.",and of course among them were the number of those who didn't even have as much sense and imagination as animals.
8559,Bloody fantastic!,fucking great!
8560,What would I have said to your mother had you died here?',"what would I say to your mother if you die here? """
8561,My informer told me she was cursed.,my source says she's cursed.
8562,The sentence is death.,the verdict is death.
8563,Because all of his powers will flow in your veins.,because all his silliness goes into your veins.
8564,But it'll give us a matri-fucking-lineal match To his mother.,but it will give us a matrimonial match with his mother.
8565,"""You got anything else to say about my friend, Dickweed?""","""do you still want to say something about my friend, you son of a bitch?"""
8566,I need you all to promise me that even if I try to turn my phone on... ..you will rip it out off my hand and throw it in the ocean.,I have to promise you all that if I just turn on the phone...... you can cut off my arm and throw it into the sea.
8567,"As long as he keeps the bad people rich... ...and the good people scared,no one'il touch him.","as long as the evil ones rich and good will be slaughtered, no one will arrest him."
8568,Then herb melnick comes along with his tousled hair and goofy charm and lights her up like an all-night liquor store.,then there comes Herb Melnic with his tousled hair and a dumb charm and beaming it up as a nonstop shop of booze.
8569,It means that if you take too much of that stuff you not only start seeing bugs all over but you start talking like...and no one can understand you.,"it means if you take too much of that shit, you don't just... see bugs all the way around, but you sound like nobody understands you."
8570,"""Kala Nag, my lord, let us keep by Pudmini and go to Petersen Sahib's camp, or I shall drop from thy neck.""","""Kala Nagu, my lord, hold up Pudmini and let's go to Sahib Petersen's camp, or your neck will be broken."""
8571,"Besides, I've also got a foolproof Plan B and his name is Alex.","besides, I have an idiot plan B called Alex."
8572,That new kid's a freak.,the new guy is kind of weird.
8573,"Hell, it ain't!","shit, he's not!"
8574,"Well, you did try to off yourself.","well, you tried to kill yourself."
8575,She may be our killer's muse.,she could be the scourge of our killer.
8576,"Wait, that's how I like it!","wait, I like her burnt."
8577,I want to know more about thatgoddarnned deposition.,now I want to know more about the damn statement.
8578,"There aretoo many balls, I can't sink anything.","there's too much balls, I can't hit it."
8579,It rained practically every day and all we did was play Hearts and hunt The Bitch.',"it rained virtually every day, and we played our hearts and hunted the Dead. """
8580,Fuck off!,get out!
8581,"Help me beat him, go now.",help me beat him up.
8582,You sure are a wild one!,you're a wild animal!
8583,"Mr Gazmán, I find your cynicism terrorist-like.","Mr. Gassman, your cynicism is a deterrent."
8584,"I feel like Han Solo, you're Chewie, and she's Ben Kenobi... and we're in that fucked-up bar!","I feel like Han Solo, you Chewbacca and she's Ben Kenobi."
8585,A goddamn nightmare.,it's like a bad dream.
8586,"If they'd had a suicide vest, he was gonna take the blast himself... to protect us.","if they had a suicide vest, it would have engulfed the explosion to protect us"
8587,He's been trying to give me one of those for a long time.,he wants to give me a bullet a long time ago.
8588,"You run into any of that voodoo, you make sure you find a Catholic, hold up a cross, say a prayer for you.","you find any of this voodoo, you'd find a Catholic, Get a cross, say a prayer for you."
8589,"You're Superboy, huh?","you're a Suicide, aren't you?"
8590,"Mr. Farrell... you're here for the rent, puto?","Mr. Farrell... are you coming for the rent, motherfucker?"
8591,Lord Shu wants Kao dead.,Lord Shui demands Kaa's death.
8592,"Natalie, right? Who the fuck is Dodd?","you're Natalie, right?"
8593,Gravity's a bitch.,gravity is a swain.
8594,And sooner or later you're the psycho in the scenario.,"and sooner or later, you become a psychopath."
8595,your father's will has turned to madness.,your father is on the verge of insanity.
8596,"In that knowledge, despair and die!",from my knowledge despair and die.
8597,What the hell are you doing sniffing around this case?,what do you think you're doing snooping around the case?
8598,And isn't she not supposed to block the fire escape with her garbage?,and doesn't he know he's not supposed to block the fire escape route?
8599,Strangling Hyang-sook's throat with it tightly.,he tightened his grip around Hyang-soo's throat.
8600,You shitting me?,are you kidding me?
8601,"And I thought, ""Shit. If that's true, we're in real trouble.""","and I thought, ""If that's true, we have a real problem."""
8602,"By order of Zebulon Vance, governor of this great state of North Carolina, any soldier turned deserter is guilty of treason, and should be hunted down like a dog.","the coast of Charlotte, September 1864 According to Zebulon Vancea, the governor of North Carolina, Cold Mountain, on the same day... every defeatist soldier commits treason and will be caught as a dog."
8603,I can listen to bad music whenever I want.,I can listen to stupid music when I want.
8604,You know what every girl I've ever banged had in common?,"you know what they had all the girls I fucked, in common?"
8605,A Varon-T disruptor.,disruptor Varon-T.
8606,"When I was approached about the box, I was worried that the man killed you to secure it.","when the man approached me about the box, I was afraid he killed you to get it."
8607,"One of those random, unattached thoughts that were coming to characterize the blasted scape of his mind.","it was one of those random, rambling thoughts that were beginning to be typical of the desolate landscape of his mind."
8608,Give a lunatic a paintball gun and you'd expect a Jackson Pollock.,give a crazy paintball gun and one was expecting complete colour orgies.
8609,"Yes, I think his wife is ill.",I think he's got a sick wife.
8610,"Truth is, I'm too tired to fuckin' argue.","actually, I'm too tired to fight."
8611,Now get the fuckout of here so I can get some sleep.,"now, get out of here. I have to get some sleep."
8612,I'd be dead by nightfall without you.,I'm dead by nightfall.
8613,"It was so bathetic, parting like this after all that had gone before.",just as ridiculous was goodbye after all that had happened before.
8614,Who'd could have imagined that he would be a mediocre president?,who would have imagined that he would be the average president?
8615,"Well, you're a little doll.",you're like a doll.
8616,"Who would ever talk about ugly, miserable... ...moping Moaning Myrtle?","why would anyone talk about the ugly, poor Little Myrtle?"
8617,"""I haven't any illusions about this confounded job.""","""I have no illusions about this damn job."""
8618,"This may sound stupid, but I've never been to one of these things before.","it may sound silly, but... I've never been on anything like this."
8619,And did Mrs. Van Zanten explain why she wanted her husband killed?,and did she explain why she wanted to kill him?
8620,"You are your fucking mother, through and through.","you're your own mother, through and through."
8621,Who’s then murdered by Tosca’s own hand... who in turn... commits suicide.,"then he killed Tosca with his own hand, and then he committed suicide."
8622,"Is this murderous, suicidal killing for the sake of prestige the only way out?",is murder and suicide for prestige the only option?
8623,Apparently the old witch can draw power from this side because of her talisman.,the old witch says she can get power from this side because of her talent.
8624,A murder.,murder.
8625,You don't think it's too mad?,isn't he too stupid?
8626,but you can then hear it is stillborn.,but you can hear it's complete crap.
8627,"They can kill me now, if they build up in here.”","now they could have killed me if they had accumulated. """
8628,"Then I don't see why you need to go to interviews, dammit.",then I don't know why you should go to the interview.
8629,Then I'll be the last supercunt you'll ever see.,I'll be the last superman you'll ever see.
8630,And I'm getting raked over the coals because of a little dinner.,and I'm on my butt for one little dinner.
8631,You wanna see balls?,do you want to see this...?
8632,'This is getting absurd.,"""this is getting ridiculous."
8633,"""That's a fucking lie,"" Blair said.","""it's a sport,"" Blair said."
8634,"He's like the mad artist, just hunched over his books.",he's like a crazy artist... hunched up under his books.
8635,The average man has 60 million sperm per millilitre of ejaculate.,a big man has a 60 million sperm count in 1 ml.
8636,"Ah, Ruthie, this dump is where your mother and I met.","oh, Ruthie, this hole is where my mom and I met."
8637,"Maybe we didn't get them on murder, but we busted their asses on drugs, weapons and money laundering.","we may not be convicted of murder, but he's busted for drugs, guns and money laundering."
8638,"""Once you have returned to 1985, destroy the time machine.""","""when you go back to 1985, destroy him."""
8639,Wouldn't let me do all this shit.,you can't let me do this.
8640,What are you doing?,what the fuck?
8641,Black King to White Bishop.,the Black King calls the white shooter.
8642,"If die, there are at least two policemen to die together with me.","if I'm gone, I'll take at least two cops."
8643,Franklin-stein's monster.,Franklin is a monster.
8644,That sounds kind of lame.,sounds pathetic.
8645,"Guys, I believe that I have figured out What is up your butts.",I think I figured out what's going on with you.
8646,"'Twat, twat, twat.'","asshole, asshole, asshole."
8647,They'd rather die than be slaves to an invading army.,they'd rather die than be slaves.
8648,"I was going to say, it might be better if I do it since he's a sort of Valentino.",I want to say it would be better for me to go there when he's such a womanizer.
8649,"'Maybe, but he remembers who he is, who he was with, shit like that.","""maybe, but he remembers who he came up with and all."
8650,I should carve my name into his back and fill the wounds with salt.,I should have cut his name into his butt and buried it with salt.
8651,"""You have made us look ridiculous.""","""you have completely ridiculed us."""
8652,I'm like an insatiable baboon in the bedroom.,I'm like a greedy baboon in the bedroom.
8653,You probably lost track of time 'cause you were too busy turning the solarium into a funeral home for deadheads.,you probably lost track of time because you were too busy turning the solarium into a funeral home for black passengers.
8654,Now get the damn door.,open the door.
8655,"Code worms... found only in the darkest recesses of the Grid, and very effective at rewriting discs.","maggots... can only be found in the darkest corners of the Web, and they are very effective at rewriting discs."
8656,"Now cut me loose, for God's sake!","let me go, for God's sake!"
8657,Don't say that! Don't fuckin' say that to me!,don't you dare talk to me like that.
8658,No I'm not getting into the pool with Kenny he has herpes. What?,"I'm not going to the pool with Kenny, he's got herpes."
8659,"Perverts. Hey, I've seen you use more than a finger.","I saw you too, and it wasn't just a finger."
8660,"Knoll. Shit, what time is it?","what the hell, what time is it?"
8661,"And that throughout history, they seek out and kill the living descendants of Jesus Christ.",for centuries she sought and killed direct descendants of Jesus Christ.
8662,"“Hairline fracture, you ass!” she whispered.","'i'll give you a crack, 'she whispered."
8663,"And even the cuddly-looking ones, they have done some shit that would terrify a kind-hearted person such as yourself.",and even those harmless-looking did things to make a kind of good-hearted person like you.
8664,What's so damned funny?,what's so funny?
8665,"Take your top man, fake his death, then send him in disguised as the enemy.","take the best man, falsify his death and send him as an enemy."
8666,I had no doubt that they would murder me in a second if I did not move away from the corpse.,I didn't doubt they would kill me in the second if I hadn't resigned from the corpse.
8667,"Liam, you're usually up for anything.","Liam, you're usually for every damn thing."
8668,The thing about looks not being a big deal is rubbish.,the fact that the phenomenon does not mean anything is nonsense.
8669,"Na ... no I also have some accounts, so And there comes a suspicion that she is a lesbian.","well... I also have some accounts there, so then I suspect she's a lesbian."
8670,The coffee is bad.,coffee is shit.
8671,"""Mr. Bonforte, this is ridiculous!","""Mr. Bonforte, it's ridiculous."
8672,See that lonely little trash can there?,you see that abandoned little garbage truck over there?
8673,"Were the Whoresons involved?"" Walegrin asked, but without interrupting the flow of Thrusher's theological gossip.","Wizards? Or are those sons of bitches behind this? ""Walegrin asked, but the stream of Drozot's religious gossip was not interrupted."
8674,I was gonna hang loose until after Mardi Gras.,"but by the end of Mardi Gras, I wanted to hang."
8675,And I have sex with lan and George.,and I'm sleeping with lan and George.
8676,What the hell are you looking for?,what are you looking for?
8677,Everybody's always talking about how bad experiences cause you to grow... and all that cliched stuff.,everyone always talks about bad experiences forcing it to grow... and all the clichés of shit.
8678,I didn't put any clown puppets in your bed.,I didn't put a clown in your room.
8679,MacLaren's is a rip-off!,Maclaren's is a thief.
8680,I only punched that XO once.,I only hit that bastard once.
8681,You devils have taken my family!,you took my family and my home.
8682,"I never knew, but when he returned, I confronted him I said, you're avoiding me.","I never found out, but when he came back, I shot him in the face for avoiding me."
8683,"I ruin you, and you kiss me?",I'm gonna ruin your life and you kiss me?
8684,They have all seven Dragonballs.,they have all seven of the dragon's balls.
8685,I know the next couple months are really gonna suck.,I know the next few months will be hefty.
8686,"If Verone sees a helicopter or Customs boat, she's dead!","I don't know, but if Verone sees a helicopter or a customs ship, she's dead."
8687,"He'll still have all the powers of the triumvirate, but he'll be mad.","he will still have all the power of triumph, but he will be insane."
8688,"And the settlers know it, so they treat them like shit.","and the settlers know it, so they treat them like a rag."
8689,Griffin knew al-Hassan was watching his reaction for even the slightest hint of discomfort with the idea of killing Jon.,"Griffin knew al-Hassan was following his reaction, waiting for the slightest hint of disagreement to kill Jon."
8690,"Fat Man, Little Boy.","""fat man,"" ""Little boy."""
8691,"I want to start with ""damn it, Janet.""","let's start with ""Wow, Jani."""
8692,They should have kept you in the hospital psycho ward!,they should have kept you in that psychiatric ward.
8693,"On your knees, Texas Pete.","on your knees, desperados."
8694,Goddamn commie. That's why I have to find my wife.,that's why... I have to find my wife.
8695,"Go ahead, Apu! Fire it off in there!","just shoot there, Apu!"
8696,She wouldn't get off my goddam lap.,she's not going to get you out of my lap.
8697,"""Debra, take a look at all these lonely cats... ""","""Debra, look at these lonely pussies..."""
8698,That's another reason why Chase's suggestion was idiotic.,another reason why it was chase nonsense.
8699,Grendel will die!,the grendel dies!
8700,She can suck a golf ball through 20 feet of garden hose.,he can suck a golf ball across a six-foot garden hose.
8701,Essentially what he's doing is he's coercing these people into murder.,"basically, he's gonna make these people commit murder."
8702,I hate 'em!,I don't like it!
8703,But I don't think they'd be foolhardy enough to attack the police or their associates.,but I don't think they'd be stupid enough to take on policemen or their assistants.
8704,"With my name. Dick, I mean.","Dick, call me Jack."
8705,I hope they fucking rupture!,I hope they ruptured!
8706,Your voice won't reach hell.,your voice will hear only in hell.
8707,Are you fucking color-blind?,are you colorblind?
8708,My rabbit's foot.,my fucking paw.
8709,"""Street rat rapper.""","""street rat ramps."""
8710,You're gonna fucking run over me?,you want to run me over?
8711,"Somebody will invent a rhyme like One, two, three, four, I'm gonna suck your blood some more.","someone invented a rhyme like Raz, two, three, we're vampires."
8712,You can row yourselves to your blasted island and stay there.,you can swap out your soiled island and stay there.
8713,"Yes, you'll see. He'll crow, he'll fight, he'll fly... and then, he'll die.","he will be king, he will be beaten, he will fly, and then he dies."
8714,Hey! I thought you were supposed to be resting that brain.,I thought you were supposed to let the brain rest.
8715,"God, I wish I had a smoke.","God, I'd burn myself."
8716,"Jimmy, I may hate my life but I certainly don't wanna die.","I may have a fucked-up life, but I certainly don't want to die."
8717,Where did you learn that?,where the hell did you learn to show me?
